firm,agency,command,prior_sbir,transition_contract,transition_value,year,transition_type,stratum,has_contract_id,source_url,description
TRX Systems,Army,PEO IEW&S,SBIR Phase I/II ~$4M 2008-2020; xTechSearch 3,,$402M IDIQ,2024,procurement,marquee,no,https://armysbir.army.mil/news/xtech-winner-delivers-program-of-record-technology-for-gps-denied-soldiers/,Dismounted assured-PNT (DAPS GEN II) full-rate production program of record
Mayflower Communications,Army,PEO Aviation,A14-032,,$56M IDIQ,2020,procurement,marquee,no,https://armysbir.army.mil/news/gps-tech-leader-transitions-support-sb-funding/,GPS anti-jam antenna (MAGNA) full-rate production
Pratt Miller Defense,Army,National Guard,Phase I 2012 Phase II 2013/2016,,$25.7M,2024,procurement,marquee,no,https://armysbir.army.mil/news/funding-hits-target-sb-tech/,Trackless Moving Targets full-rate production for marksmanship training
Orbital Research,Army,DEVCOM Armament Center,Army SBIR Phase I/II; APFIT; CATALYST,,>$9M,2022,procurement,marquee,no,https://armysbir.army.mil/news/advanced-drone-weaponization-tech-soars-with-army-innovation-funding/,Hunt-Kill-Return drone munitions procurement (1700 units)
Wilder Systems,Air Force,AFGSC/OC-ALC,8 Phase I 7 Phase II ~$8.6M,,$32.5M STRATFI,2024,procurement,marquee,no,https://afwerx.com/news/afwerx-sbir-sttr-program-streamlines-aircraft-maintenance/,Robotic aircraft rivet-removal maintenance system for B-52/B-1
Compass Technology Group,Air Force,AFSC Warner Robins,SBIR Phase I/II,,$10M AFPIT + $2M TACFI,2024,procurement,marquee,no,https://afwerx.com/news/afwerx-sbir-sttr-program-transforms-radome-inspections/,Robotic microwave radome-inspection system
Disruptive EW Machines,Air Force,Eglin AFB,Direct-to-Phase II,,~$1.7M+,2025,procurement,marquee,no,https://afwerx.com/news/afwerx-sbir-sttr-program-powers-more-realistic-air-force-training/,Deployable/Attritable Radar Target threat emulator (Phase III x4 orgs)
DEFCON AI,Air Force,AMC,SBIR prototype closed 2022,,Phase III option-year,2024,procurement,marquee,no,https://markets.financialcontent.com/dowtheoryletters/article/bizwire-2024-10-22-defcon-ai-awarded-option-year-on-air-force-phase-iii-sbir-contract,ARTIV logistics/mobility modeling & simulation (AMC Phase III)
Clear Align LLC,Air Force,,SBIR Phase I/II predicate,,sole-source Phase III,2025,procurement,hard,no,https://www.lexology.com/library/detail.aspx?g=5330ed8d-2a37-4007-9bf2-ce9bd1753511,Tactical security system sole-source Phase III (GAO B-423319 upheld)
Castelion Corporation,Air Force,AFRL,Two D2P2 $18.7M 2023,,$55.8M Phase III,2024,procurement,marquee,no,https://afwerx.com/news/afwerx-sbir-program-advances-hypersonic-technology-toward-operational-use/,Low-cost hypersonic strike weapon AFRL Phase III
ASYLON Inc.,Air Force,AFGSC,9 AFWERX SBIR ~$4M,,$12M+ STRATFI,2023,procurement,marquee,no,https://asylonrobotics.com/afwerx-stratfi-contract/,DroneCore robotic perimeter security for base defense
Electra,Air Force,AFRL,9 AFWERX contracts since 2020,,$85M STRATFI,2023,procurement,marquee,no,https://afwerx.com/news/afwerx-sbir-sttr-program-advances-hybrid-powered-aircraft-for-tactical-logistics/,Hybrid-electric eSTOL aircraft for austere logistics
Varda Space Industries,Space Force,AFRL Space Vehicles,SBIR; $60M STRATFI 2023,,$48M AFRL,2024,procurement,marquee,no,https://spacewerx.us/in-the-news/afwerx-spacewerx-sbir-sttr-program-revolutionizes-hypersonic-testing-with-commercial-re-entry-capsules/,Reentry-capsule hypersonic testbed
Starfish Space,Space Force,SDA,10 SBIR + 3 STTR since 2021,,$52.5M SDA,2026,procurement,marquee,no,https://spacewerx.us/in-the-news/afwerx-spacewerx-sbir-sttr-program-spearheads-space-mobility-for-enhanced-logistics-and-debris-management/,Otter on-orbit satellite-servicing vehicle
Orbital Sidekick,Space Force,AFRL/NASIC,$75K Phase I 2018,,~$17M STRATFI,2019,procurement,marquee,no,https://spacewerx.us/in-the-news/afwerx-spacewerx-sbir-sttr-program-supports-counter-threats-and-superior-isr-capability/,GHOSt hyperspectral ISR constellation
K2 Space,Space Force,AFRL/STP,SBIR/STTR FY23-24,,$60M STRATFI,2024,procurement,marquee,no,https://spacewerx.us/in-the-news/afwerx-spacewerx-sbir-sttr-program-supports-satellites-built-for-large-payloads-orbital-versatility/,Gravitas mega-class satellite bus
Braxton Technologies,Air Force,SMC EGS,First SBIR 2013,,$20M ($100M ceiling),2019,procurement,marquee,no,https://intelligencecommunitynews.com/air-force-awards-20m-enterprise-ground-services-satellite-ops-contract-to-braxton-technologies/,Enterprise Ground Services satellite-ops Phase III
Modern Technology Solutions,Air Force,SSC,SBIR Space C2,,~$99.95M Phase III,2025,procurement,marquee,no,https://orangeslices.ai/mtsi-leverage-sbir-phase-iii-to-land-100m-us-air-force-space-command-and-control-prototype-contract/,Space Command & Control prototyping Phase III
LMI,Space Force,SSC,SBIR Phase I/II logistics,,$100M sole-source IDIQ,2025,procurement,marquee,no,https://www.govconwire.com/articles/lmi-ssc-sbir-logistics-readiness-contract,Life-cycle logistics & readiness sustainment Phase III
Stell Engineering,Space Force,Space RCO,SBIR Phase I/II,,$5.8M Phase III,2025,procurement,hard,no,https://markets.financialcontent.com/clarkebroadcasting.mymotherlode/article/247pressrelease-2025-11-5-stell-awarded-space-rco-contract-to-deploy-software-for-rapid-systems-integration,Rapid systems-integration software Phase III
Empirical Systems Aerospace,NASA,Glenn/Armstrong/Langley,Phase I 2009 SCEPTOR,,$8M (two Phase III),2016,procurement,marquee,no,https://www.sbir.gov/success/sbir-sttr-success-empirical-systems-aerospace-inc-esaero,Distributed electric propulsion -> X-57 Maxwell testbed
Made In Space,NASA,Ames,SBIR Phase I/II in-space mfg,,Archinaut Phase III,2017,procurement,marquee,no,https://www.sbir.gov/success/sbir-sttr-success-made-space-inc-mis,On-orbit additive manufacturing (Archinaut)
Advanced Space,NASA,Ames,CAPS SBIR ~$125K 2017 ~$750K 2018,,$13.7M Phase III,2019,procurement,marquee,no,https://www.nasa.gov/centers-and-facilities/ames/the-small-businesses-behind-capstone-are-paving-our-path-to-the-moon/,Cislunar autonomous navigation -> CAPSTONE mission
ICON,NASA,Marshall,Prior NASA/DoD Project Olympus,,$57.2M Phase III,2022,procurement,marquee,no,https://spacenews.com/icon-to-develop-lunar-surface-construction-system-with-57-2-million-nasa-award/,Lunar-regolith 3D construction (MMPACT)
Katalyst Space Technologies,NASA,Goddard,SBIR robotic servicing SIGHT,,$30M Phase III,2025,procurement,marquee,no,https://www.nasa.gov/news-release/nasa-awards-company-to-attempt-swift-spacecraft-orbit-boost/,Robotic satellite servicer to reboost Swift observatory
Spectral Energies,NASA,Langley,NASA Phase I 2009 Phase II-E 2014,,3 Phase III,2017,procurement,marquee,no,https://www.nasa.gov/nasa-sbir-sttr-success-stories/,Pulse-burst laser diagnostics -> NASA Langley procurement
Techshot,NASA,ISS,SBIR/STTR 1991-2016 CCRPP $2.5M,,BFF ISS pre-purchase,2019,procurement,marquee,no,https://www.nasa.gov/nasa-sbir-sttr-success-stories/,Microgravity bioprinting facility (BFF) on ISS
