firm,agency,command,prior_sbir,transition_contract,transition_value,year,transition_type,stratum,has_contract_id,source_url,description
Innovative Defense Technologies,MDA,Aegis BMD,N05-163,Phase III IDIQ (AEP),$33.1M/5yr,2024,procurement,marquee,no,https://idtus.com/idt-awarded-sbir-phase-iii-contract-with-mda/,Aegis BMD ATRT Enterprise Platform; automated test/re-test
Innovative Defense Technologies,MDA,BMD,N05-163,Phase III,$10M,2015,procurement,marquee,no,https://www.militaryaerospace.com/communications/article/16714237/,Automated Test and Re-Test (ATRT) tool for BMD systems
SciTec,MDA,Space Data Exploitation,SDE Phase II,follow-on Phase III,"$10,731,298",2022,procurement,marquee,no,https://www.prnewswire.com/news-releases/scitec-awarded-follow-on-phase-iii-sbir-contract-301676024.html,Mission apps/algorithms for BMD from space sensor data
Corvid Technologies,MDA,Redstone Arsenal,,HQ0860-21-C-7300,"$7,936,440",2021,procurement,hard,yes,https://www.afcea.org/signal-media/contracting/corvid-technologies-secures-sbir-phase-iii-award-mda-debris-modeling-and,Post-intercept debris models + sensor scene-generation
Sayari Analytics,SOCOM,USSOCOM,,H9241524D0001,$45M ceiling,2024,procurement,hard,yes,https://orangeslices.ai/contract-award-45m-ussocom-sbir-phase-iii-idiq/,Commercial-intelligence analytics Phase III IDIQ
Techno-Sciences,SOCOM,via Navy SPAWAR,SOCOM02-006,Phase III,>$70M,2015,procurement,marquee,no,https://www.sbir.gov/success/ussocom-sbir-successful-technology-pursuit-worldwide-c41-special-operations-forces,Worldwide C4I for SOF combatant craft; maritime surveillance
GS Engineering,SOCOM,USSOCOM,,H92222-11-D-0005,~$6M,2011,procurement,hard,yes,https://www.sbir.gov/success/ussocom-sbir-successful-technology-pursuit-advanced-lightweight-vehicle-components-and,Lightweight Ground Mobility Vehicle components
Knexus Research,DLA,DLA,,SP470126D1649,$50M ceiling,2026,procurement,hard,yes,https://orangeslices.ai/knexus-awarded-50m-dla-sbir-phase-iii-gailforce-generative-ai-logistics-for-communication-and-execution-transition-idiq/,GAILFORCE generative-AI logistics SITREPs
Vibronyx,DLA,Troop Support C&T,,SP4701-24-C-0050,,2025,procurement,hard,yes,https://vibronyx.com/vibronyx-awarded-sbir-phase-iii-contract-modification-to-digitally-transform-new-dla-supply-chain/,Digital supply-chain twin
Parts Life,DLA,DLA,,SP470126C0014; SP470123C0033,$6.7M; $4.5M,2024,procurement,hard,yes,https://www.partslifeinc.com/post/sbir-success-conquering-the-valley-of-death-and-fueling-mission-readiness-for-the-dod,Reverse-engineered sustainment parts (14 Phase III production contracts)
Noveon Magnetics,DLA,DLA,,SP470124C0017,"$4,350,000",2024,procurement,hard,yes,https://www.usaspending.gov/award/SP470124C0017,Domestic NdFeB rare-earth magnet manufacturing
Mentis Sciences,DLA,DLA,,SP470124C0055; SP470125C0044,$7.7M; $3.3M,2024,procurement,hard,yes,https://www.usaspending.gov/award/SP470124C0055,CMC / hypersonic radome
Xylon Technical Ceramics,DLA,DLA,,SP470122C0095,"$5,877,350",2022,procurement,hard,yes,https://www.usaspending.gov/award/SP470122C0095,Technical ceramics
BC Technical Center,DLA,DLA,,SP470123C0026,"$9,999,926",2023,procurement,hard,yes,https://www.usaspending.gov/award/SP470123C0026,SBIR Phase III award
CRAFT Tech,DTRA,DTRA,,HDTRA116C0011,"$5,285,459",2016,procurement,hard,yes,https://www.usaspending.gov/award/HDTRA116C0011,CRAFT/CRUNCH blast codes
EP Analytics,DTRA,DTRA,,HDTRA221C0008; HDTRA126C0009,"$1,175,531; $292,338",2021,procurement,hard,yes,https://www.usaspending.gov/award/HDTRA221C0008,HPC performance tools
Weidlinger Associates,DTRA,DTRA,,HDTRA113C0036,"$2,624,089",2013,procurement,hard,yes,https://www.usaspending.gov/award/HDTRA113C0036,Structural blast modeling
Karagozian & Case,DTRA,DTRA,,HDTRA113C0045,"$1,661,878",2013,procurement,hard,yes,https://www.usaspending.gov/award/HDTRA113C0045,Progressive-collapse models
Ophirex,DHA,USAMRDC,DHA 2018.1,W81XWH20C0066; W81XWH20C0017,$9.9M; $9.4M,2020,procurement,hard,yes,https://www.ophirex.com/news/,Broad-spectrum snakebite antidote (varespladib)
Pulsar Informatics,DHA,Navy end-user,,HT942524C0002; HT942524C0003,$7.1M; $6.9M,2024,procurement,hard,yes,https://mrdc.health.mil/index.cfm/media/articles/2023/new_owl_tool_seeks_to_improve_sleep_patterns_boost_readiness,OWL fatigue-management tool (fielded USS Shoup)
Kericure,DHA,USAMRDC,,HT942523C0049,"$3,111,212",2023,procurement,hard,yes,https://www.usaspending.gov/award/HT942523C0049,Antimicrobial wound dressing
Synedgen,DHA,USAMRDC,,HT942524C0049,"$2,297,415",2024,procurement,hard,yes,https://www.usaspending.gov/award/HT942524C0049,Field-stable glycopolymer therapeutic
SimVentions,DARPA,Adaptive Capabilities Office,HR001121S0007-03,Phase III (to OUSD R&E),$14M,2024,procurement,marquee,no,https://www.darpa.mil/sites/default/files/attachment/2026-06/simventions-success-story.pdf,SmartKM M&S repository
Trident Systems,DARPA,Blackjack Program,A07-114,Phase III,$2.4M,2021,procurement,marquee,no,https://www.darpa.mil/sites/default/files/Trident-Systems-Inc-Success-Report.pdf,Blackjack SDR transceiver
Jariet Technologies,DARPA,,SB153-004,Phase III + Navy STEAM PIPE 24,$150M follow-on,2026,procurement,marquee,no,https://www.darpa.mil/sites/default/files/attachment/2026-05/jariet-technologies-success-story.pdf,ADC chiplets (mixed NRE with primes)
NAVSYS,DARPA,RadioMap/NAVAIR/SSP,SB091-012,follow-on contracts,,2021,procurement,marquee,no,https://www.darpa.mil/sites/default/files/NAVSYS-Corp-Success-Report.pdf,DINO-Pos GPS-denied PNT
Indiana Microelectronics,DARPA,National Spectrum Consortium,SB12A-005,Phase III (NSC OTA),$2M,2019,procurement,marquee,no,https://www.darpa.mil/sites/default/files/Indiana-Microelectronics-Success-Report.pdf,Reconfigurable RF filters
Systems & Technology Research,DARPA,JCTD,AF112-163,Phase III follow-on,,2022,procurement,marquee,no,https://www.darpa.mil/sites/default/files/STR-Success-Report.pdf,WAMI target ML
Charles River Analytics,DARPA,Army CCDC C5ISR (RIF),SB072-033,Phase III via OSD RIF,,2019,procurement,marquee,no,https://www.darpa.mil/sites/default/files/Charles-River-Analytics-Success-Report.pdf,LIVIO tactical intel
REI Systems,OSD,OSD (CDAO Tradewinds),,Phase III (DSIP),,2023,procurement,marquee,no,https://www.reisystems.com/rei-systems-solution-now-available-through-the-department-of-war-cdaos-tradewinds-solution-marketplace-sbir-aisle/,Built/operates the DoD-wide SBIR/STTR Innovation Portal (DSIP)
